S1wantcurse	S1WantScold	S1WantShout	S2wantcurse	S2WantScold	S2WantShout	S3wantcurse	S3WantScold	S3WantShout	S4wantcurse	S4WantScold	S4WantShout	S1Docurse	S1DoScold	S1DoShout	S2Docurse	S2DoScold	S2DoShout	S3Docurse	S3DoScold	S3DoShout	S4Docurse	S4DoScold	S4DoShout	Anger	Geslacht
2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	2	1	1	0	2	1	0	20	0
2	2	1	2	2	2	2	0	0	2	2	2	2	2	1	2	1	1	2	0	0	2	2	2	21	0
1	1	0	1	2	2	1	2	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	26	0
2	2	0	2	2	1	1	1	0	2	0	0	2	2	0	2	1	0	1	0	0	2	0	0	23	0
1	2	0	1	2	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	14	0
0	2	1	1	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	23	0
0	1	1	0	1	1	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	17	0
2	2	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	18	0
2	0	0	2	1	0	1	1	0	2	2	0	1	1	0	1	1	0	1	1	0	2	2	0	19	0
2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	2	1	0	1	0	0	25	0
2	2	2	1	2	2	0	2	0	1	1	1	2	2	0	1	1	0	0	0	0	1	1	0	20	1
2	2	0	2	2	0	2	1	0	2	0	0	2	2	0	2	1	0	2	1	0	2	0	0	26	0
2	2	2	2	1	1	1	1	0	2	0	0	1	1	0	1	1	0	1	1	0	1	0	0	21	0
2	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	1	0	0	15	0
0	1	1	1	2	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0
1	1	0	1	0	0	2	1	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	21	0
0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
0	0	0	0	0	0	1	2	0	0	0	0	1	2	0	1	0	0	0	0	0	0	2	0	15	0
2	2	1	2	2	1	2	2	0	2	2	2	2	2	0	2	1	0	1	1	0	2	0	0	22	0
2	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	19	1
1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	19	1
1	1	1	2	2	2	1	1	0	2	2	2	1	1	0	2	2	0	0	0	0	1	1	0	18	0
1	2	2	2	2	0	2	1	1	2	2	0	0	1	0	2	2	0	1	2	0	0	2	0	18	0
0	2	1	2	2	0	0	0	0	2	1	0	2	2	1	2	2	0	0	1	0	1	1	0	16	1
2	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
2	0	2	2	2	2	2	0	1	2	2	2	1	1	0	0	0	0	2	0	0	2	0	0	19	0
2	2	1	2	2	2	2	0	1	2	0	0	2	2	0	2	0	0	2	0	0	2	0	0	25	0
1	0	1	2	0	0	2	2	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	17	1
2	0	1	2	2	2	1	0	0	2	0	2	2	0	0	2	0	2	1	0	0	2	0	2	30	0
1	1	1	1	1	1	2	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	29	0
2	2	2	1	1	1	2	1	1	1	1	1	2	2	2	0	1	1	1	0	0	1	1	0	27	0
1	1	1	1	2	2	1	0	0	1	1	1	1	1	1	2	2	2	1	0	0	1	0	1	18	0
2	2	2	0	2	2	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	27	0
0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	31	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	0	19	0
0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	18	1
0	2	1	0	2	2	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	1	1	1	17	0
1	1	0	1	2	0	2	0	0	2	0	0	0	1	1	0	1	0	0	2	1	0	0	0	15	0
1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
0	1	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	0
2	1	1	2	0	0	1	2	0	2	0	0	2	2	0	2	2	0	2	1	0	2	1	0	12	1
1	2	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	16	1
2	2	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	20	0
1	2	1	1	2	2	2	2	0	1	2	1	2	1	2	2	2	1	1	2	1	2	2	2	33	1
0	0	1	2	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	17	0
0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	13	0
2	2	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	14	0
2	2	0	0	0	0	1	1	1	2	0	0	2	2	2	0	0	0	1	1	0	1	0	0	23	0
2	2	1	2	2	0	1	1	0	0	2	0	1	1	0	2	0	2	1	1	0	0	0	0	24	1
2	2	2	2	2	2	2	0	1	0	0	0	1	1	1	2	2	1	1	0	0	0	0	0	17	1
2	2	0	2	2	0	1	1	0	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	20	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
2	2	0	2	2	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	23	0
1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
